バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,最終プレー日時
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,0,1,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,10,0,0,0,-1,NO PLAY,2015-11-11 17:05
1st&substream,R3,RAVE,tiger YAMATO,0,4,0,0,0,-1,FAILED,6,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,2015-11-11 17:05
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,0,3,0,0,0,-1,EASY CLEAR,11,0,0,0,-1,NO PLAY,11,0,0,0,-1,NO PLAY,2015-11-11 17:05
1st&substream,GAMBOL,BIG BEAT,SLAKE,0,1,0,0,0,-1,NO PLAY,1,0,0,0,-1,NO PLAY,0,0,0,0,-1,NO PLAY,2015-11-11 17:05
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,0,3,0,0,0,-1,CLEAR,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,2015-11-11 17:05
1st&substream,Dr.LOVE,DANCE POP,baby weapon feat.Asuka.M,0,3,0,0,0,-1,NO PLAY,4,0,0,0,-1,NO PLAY,0,0,0,0,-1,NO PLAY,2015-11-11 17:05
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,0,2,0,0,0,-1,EASY CLEAR,3,0,0,0,-1,EASY CLEAR,0,0,0,0,-1,NO PLAY,2015-11-11 17:05
1st&substream,PARANOIA MAX～DIRTY MIX～,JUNGLE,190,0,3,0,0,0,-1,FAILED,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,2015-11-11 17:05
2nd style,.59,CHILL OUT,dj TAKA,0,4,0,0,0,-1,NO PLAY,6,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,2015-11-11 17:05
2nd style,I Was The One,ITALO HOUSE,good-cool,0,1,0,0,0,-1,NO PLAY,2,0,0,0,-1,NO PLAY,0,0,0,0,-1,NO PLAY,2015-11-11 17:05
4th style,Voltage (feat. Hidemaru),BIG BEAT,TaQ,0,5,0,0,0,-1,NO PLAY,11,0,0,0,-1,NO PLAY,0,0,0,0,-1,NO PLAY,2015-11-11 17:05
