タイトル,プレイスタイル,譜面モード,難易度,MINBPM,MAXBPM,S,1,2,3,4,5,6,7,TOTALNOTES,ソフラン回数,乱打,同時,階段,トリ,縦連,皿,CN,PLAYTIME
5.1.1.,SP,ANOTHER,10,101,101,161,113,90,94,99,99,79,51,786,0,25.1,5.9,26.7,46.6,1.1,24.7,0.0,85.39
Macho Gang,SP,ANOTHER,10,125,125,106,234,13,100,58,88,141,97,837,0,9.0,13.7,24.0,27.6,44.8,11.9,0.0,93.84
THE SAFARI,SP,HYPER,10,150,150,58,181,76,141,97,126,108,113,900,0,16.2,29.8,25.1,21.0,9.6,6.5,0.0,83.2
ABSOLUTE,SP,ANOTHER,10,60,144,41,225,135,167,172,178,131,169,1218,8,37.4,18.0,30.6,5.0,9.7,3.1,0.0,114.7
B4U,SP,ANOTHER,10,155,155,95,244,79,117,129,112,118,120,1014,0,21.6,23.9,16.2,2.4,7.4,10.7,0.0,94.45
DXY!,SP,ANOTHER,10,148,148,75,226,121,232,103,131,143,127,1158,0,29.2,11.7,30.7,33.5,32.5,8.1,0.0,103.37
KAMIKAZE,SP,ANOTHER,10,130,130,59,191,112,154,210,96,258,77,1157,0,20.5,33.2,16.8,0.6,33.5,4.6,0.0,103.15
Mr.T.(take me higher),SP,ANOTHER,10,128,128,42,261,47,117,113,110,80,119,889,0,9.7,52.6,4.1,0.0,14.8,4.3,0.0,97.96
SWEET LAB,SP,ANOTHER,10,120,120,156,97,51,69,66,89,66,98,692,0,12.1,21.3,12.0,0.9,21.6,33.1,0.0,89.5
250bpm,SP,ANOTHER,10,250,250,104,206,74,56,79,60,71,76,726,0,13.6,16.4,25.1,18.9,2.4,15.3,0.0,82.32
QQQ,SP,ANOTHER,10,155,155,88,213,76,130,116,107,134,227,1091,0,12.6,20.6,23.0,2.3,44.2,7.7,0.0,110.32
Regulus,SP,ANOTHER,10,120,128,116,189,72,119,109,126,92,58,881,4,19.0,7.1,35.3,7.1,7.8,18.6,0.0,107.07
RIDE ON THE LIGHT(HI GREAT MIX)†,SP,ANOTHER,10,180,180,44,226,75,131,105,165,62,123,931,0,4.2,17.3,15.9,39.4,5.9,4.4,51.9,102.0
sync,SP,ANOTHER,10,167,167,5,243,128,172,131,193,144,188,1204,0,35.1,10.8,35.5,11.3,5.1,0.4,0.0,112.09
V,SP,HYPER,10,150,150,51,205,153,193,123,202,162,183,1272,0,22.8,14.7,48.3,30.6,12.1,3.9,0.0,118.4
Buffalo,SP,ANOTHER,10,108,108,120,151,88,137,104,129,116,87,932,0,18.8,6.5,43.8,19.2,15.4,27.2,0.0,98.61
DIVE ～INTO YOUR HEART～,SP,ANOTHER,10,155,155,56,288,39,147,106,144,172,114,1066,0,13.1,29.7,15.8,23.8,13.8,5.1,0.0,118.25
rottel-da-sun,SP,ANOTHER,10,200,200,132,226,52,164,76,116,64,106,936,0,1.5,43.1,2.3,2.8,5.3,16.7,0.0,87.15
SOMETHING WONDERFUL,SP,ANOTHER,10,150,150,39,196,136,168,112,133,123,96,1003,0,25.8,3.4,49.7,6.1,0.3,3.3,19.8,116.8
Take It Easy,SP,HYPER,10,205,205,55,212,130,179,133,157,137,226,1229,0,3.1,39.7,3.2,6.5,4.9,4.8,0.0,122.34
A,SP,HYPER,10,93,191,37,206,119,152,97,187,132,181,1111,2,30.0,43.7,15.6,5.5,1.6,4.0,0.0,118.93
MAX 300,SP,HYPER,10,12,300,43,206,56,181,95,209,68,124,982,10,22.7,17.4,15.3,38.2,57.6,4.2,0.0,87.55
stoic,SP,HYPER,10,155,155,46,202,179,212,147,143,152,169,1250,0,46.0,5.6,35.9,5.4,12.2,3.8,0.0,111.77
traces,SP,ANOTHER,10,152,152,16,201,163,125,132,134,180,132,1083,0,32.9,5.9,29.9,20.8,17.8,1.3,0.0,114.07
ZERO-ONE,SP,ANOTHER,10,160,160,28,207,126,183,126,160,138,164,1132,0,44.7,13.0,28.7,13.3,3.6,2.2,0.0,96.0
革命,SP,ANOTHER,10,83,148,45,119,149,214,199,201,154,102,1183,11,30.5,0.5,65.7,10.5,4.0,4.3,0.0,104.07
革命,SP,HYPER,10,83,148,45,87,102,162,216,197,132,63,1004,11,27.6,0.4,61.3,9.2,1.5,4.7,0.0,104.07
Colors -Y&Co. Eurobeat Remix-,SP,ANOTHER,10,155,155,27,276,114,171,117,171,150,74,1100,0,29.7,17.3,17.8,8.3,0.3,2.2,0.0,122.12
LAB,SP,ANOTHER,10,180,180,69,289,61,182,133,166,122,53,1075,0,13.2,9.1,33.7,12.6,18.4,6.8,0.0,107.91
symbolic,SP,ANOTHER,10,155,155,52,273,139,156,124,81,131,182,1138,0,25.1,10.2,36.9,8.7,19.8,4.8,0.0,116.9
WAR GAME,SP,ANOTHER,10,93,93,198,129,136,167,210,77,61,99,1077,0,14.7,7.8,36.7,26.3,51.9,35.4,0.0,121.12
桜,SP,HYPER,10,13,320,78,220,27,118,44,173,50,109,819,20,18.9,11.4,16.0,8.8,18.2,9.8,0.0,96.28
Abyss -The Heavens Remix-,SP,ANOTHER,10,171,171,70,274,175,144,158,144,114,109,1188,0,11.2,31.5,19.8,6.3,5.2,6.0,0.0,109.47
Abyss -The Heavens Remix-,SP,HYPER,10,171,171,70,189,112,137,147,117,105,61,938,0,5.7,18.7,3.2,4.6,6.6,6.8,0.0,109.47
bag,SP,ANOTHER,10,130,130,56,162,123,117,120,127,122,136,963,0,22.6,2.4,46.0,24.6,48.0,6.8,0.0,90.0
Cradle,SP,ANOTHER,10,160,188,68,220,52,120,113,77,70,83,803,2,2.7,33.4,3.9,0.0,3.5,6.4,0.0,105.71
Distress,SP,HYPER,10,125,125,101,173,94,112,116,103,131,107,937,0,16.6,10.8,31.5,23.3,7.8,12.7,0.0,108.6
e-motion 2003 -romantic extra-,SP,ANOTHER,10,145,145,17,179,99,133,138,135,127,173,1001,0,26.2,6.9,44.9,23.1,2.7,1.6,0.0,111.31
HYPER EUROBEAT(2DX style),SP,ANOTHER,10,152,152,37,216,98,148,108,114,106,163,990,0,12.5,20.9,24.0,9.7,14.7,3.3,0.0,113.48
Karma,SP,ANOTHER,10,222,222,85,165,133,102,102,116,106,116,925,0,5.1,24.6,9.1,0.0,3.3,8.0,0.0,94.32
Let The Snow Paint Me -Y&Co. Remix-,SP,ANOTHER,10,136,136,23,194,94,146,99,102,111,141,910,0,17.8,23.7,22.1,45.4,25.5,2.1,0.0,107.09
LOVE ♥ SHINE,SP,ANOTHER,10,177,177,65,295,28,145,146,153,70,144,1046,0,0.9,50.5,0.4,0.0,8.6,6.4,0.0,94.57
lower world,SP,ANOTHER,10,155,155,54,259,99,160,159,136,141,136,1144,0,25.0,8.5,48.6,15.9,3.0,6.5,0.0,122.32
Make A Difference,SP,ANOTHER,10,130,130,67,246,145,133,158,146,162,98,1155,0,30.1,18.8,37.3,17.8,10.5,7.3,0.0,115.15
moon_child,SP,HYPER,10,130,160,44,122,148,158,141,151,145,117,1026,8,16.1,10.1,38.6,15.4,9.4,5.7,0.0,115.12
one or eight,SP,HYPER,10,155,155,106,196,76,124,134,121,113,115,985,0,24.4,7.3,22.5,9.6,30.8,11.8,0.0,92.32
POWER DREAM,SP,ANOTHER,10,142,142,47,235,75,115,114,146,126,81,939,0,19.1,14.5,8.5,11.3,62.8,5.3,0.0,107.21
Quickening,SP,ANOTHER,10,150,150,25,206,146,152,54,205,88,186,1062,0,18.6,22.4,35.1,14.5,10.0,2.3,0.0,96.0
Really Love,SP,ANOTHER,10,100,100,189,280,66,107,74,54,66,62,898,0,23.5,9.2,16.6,2.8,20.8,42.3,0.0,118.65
rottel-the-Mercury,SP,ANOTHER,10,200,200,83,334,85,147,79,142,128,139,1137,0,2.1,52.9,1.0,0.0,13.3,8.7,0.0,107.85
SNOW,SP,ANOTHER,10,180,180,22,184,156,149,139,136,112,140,1038,0,21.2,25.5,15.2,16.4,10.8,1.8,0.0,105.33
Sweet Sweet ♥ Magic,SP,ANOTHER,10,180,180,38,225,69,166,118,130,150,136,1032,0,21.6,26.9,17.5,14.9,3.5,3.4,0.0,88.16
BABY LOVE,SP,ANOTHER,10,160,160,97,207,134,129,143,147,127,105,1089,0,10.3,25.1,16.5,13.0,7.0,11.0,0.0,117.0
Back Into The Light,SP,ANOTHER,10,144,144,8,198,106,159,181,167,132,135,1086,0,35.9,10.3,38.8,8.7,3.0,0.7,0.0,106.66
Daisuke,SP,ANOTHER,10,157,157,41,229,123,158,146,188,123,197,1205,0,21.6,23.5,32.7,6.3,3.1,3.6,0.0,116.17
EXE,SP,ANOTHER,10,158,158,50,232,157,131,126,150,134,151,1131,0,30.7,14.5,31.0,7.9,1.5,4.2,0.0,109.17
Feedback,SP,ANOTHER,10,140,140,134,159,109,160,113,118,118,99,1010,0,27.6,5.1,27.0,3.4,7.4,23.0,0.0,108.85
FEEL IT,SP,ANOTHER,10,180,180,51,368,26,174,73,144,71,106,1013,0,4.6,21.2,4.6,48.0,89.1,4.8,0.0,106.33
GHOST REVIVAL,SP,ANOTHER,10,148,148,60,260,121,203,143,215,142,167,1311,0,27.3,3.3,63.3,20.4,3.8,5.4,0.0,121.52
GRADIUS -FULL SPEED-,SP,ANOTHER,10,160,220,24,278,108,159,130,149,119,107,1074,6,28.9,11.3,31.6,23.2,10.5,2.1,0.0,112.22
Narcissus At Oasis,SP,ANOTHER,10,170,170,39,178,95,170,127,77,76,76,838,0,8.5,17.1,25.3,26.1,13.4,3.9,0.0,113.64
Narcissus At Oasis,SP,HYPER,10,170,170,35,177,78,174,112,74,74,83,807,0,6.5,17.6,21.7,21.0,21.0,3.4,0.0,113.64
No.13,SP,HYPER,10,172,172,52,266,138,180,155,182,220,183,1376,0,51.1,6.9,36.8,11.3,3.5,4.2,0.0,114.06
rainbow rainbow,SP,HYPER,10,177,177,30,237,135,166,124,140,158,166,1156,0,15.3,28.4,23.3,12.7,18.6,2.7,0.0,110.84
Rise'n Beauty,SP,ANOTHER,10,144,144,9,297,103,173,180,128,116,88,1094,0,27.5,15.4,35.8,24.8,7.7,0.8,0.0,119.89
1st Samurai,SP,HYPER,10,175,200,70,110,118,127,151,147,155,138,1016,2,23.2,6.8,41.4,2.2,0.9,6.8,0.0,104.48
雪月花,SP,HYPER,10,151,151,82,185,113,100,119,108,134,138,979,0,37.0,10.1,21.9,4.1,4.4,10.8,0.0,109.47
AA,SP,HYPER,10,154,154,22,248,133,203,195,196,197,192,1386,0,42.6,6.3,58.3,8.0,1.1,1.6,0.0,113.76
awakening,SP,ANOTHER,10,143,143,18,165,121,114,105,93,115,135,866,0,11.0,8.4,21.5,29.4,11.5,1.7,0.0,120.83
BREATH,SP,ANOTHER,10,160,160,52,229,81,121,95,104,55,138,875,0,11.3,31.1,16.9,19.3,4.6,5.1,0.0,95.71
D.A.N.C.E.!,SP,ANOTHER,10,116,116,87,193,75,84,99,93,110,85,826,0,15.2,28.2,10.5,3.4,20.5,12.8,0.0,103.44
Don't be afraid myself,SP,ANOTHER,10,165,165,62,284,105,181,137,159,105,122,1155,0,24.2,17.5,29.6,10.7,3.4,6.4,0.0,114.0
GENOCIDE,SP,HYPER,10,175,175,48,223,115,129,146,150,130,162,1103,0,26.9,8.0,41.8,26.2,7.7,5.5,0.0,93.25
NEBULA GRASPER,SP,ANOTHER,10,152,153,28,221,169,203,166,191,136,127,1241,2,40.3,0.5,65.5,23.7,0.3,2.1,0.0,114.5
RESONATE 1794,SP,HYPER,10,160,160,45,145,83,127,115,116,67,47,745,0,24.0,9.6,18.3,9.0,1.2,4.7,0.0,123.0
Sphere,SP,ANOTHER,10,160,160,51,222,114,143,128,140,137,176,1111,0,21.1,30.8,27.7,17.2,13.4,5.2,0.0,103.5
The Hope of Tomorrow,SP,ANOTHER,10,144,144,14,233,87,159,140,145,112,102,992,0,23.3,11.8,27.9,58.6,5.0,1.2,0.0,120.0
Agnus Dei,SP,ANOTHER,10,70,168,82,245,104,113,132,132,129,114,1051,7,12.6,25.4,20.1,6.0,8.3,6.9,0.0,105.42
alla turca con passione,SP,ANOTHER,10,140,140,65,207,141,157,159,166,133,75,1103,0,24.3,21.3,28.5,12.9,14.7,6.9,0.0,112.71
Aurora,SP,HYPER,10,181,181,62,194,133,137,142,139,144,149,1100,0,28.1,25.5,14.8,5.9,3.3,6.4,0.0,111.38
Catch Me,SP,ANOTHER,10,115,115,136,134,128,78,93,100,91,165,925,0,16.8,23.3,11.2,15.4,29.7,19.9,0.0,101.21
double thrash,SP,HYPER,10,166,166,63,173,91,226,151,199,90,73,1066,0,15.0,13.3,40.1,22.4,4.6,5.4,0.0,117.83
double thrash,SP,ANOTHER,10,166,166,116,199,112,234,179,187,104,75,1206,0,16.7,13.2,39.8,25.8,3.8,9.3,0.0,117.83
EDEN,SP,ANOTHER,10,200,200,50,207,210,172,178,181,149,216,1363,0,3.9,57.3,6.2,0.7,5.0,4.3,0.0,118.65
garden,SP,ANOTHER,10,220,220,113,186,158,165,147,130,119,82,1100,0,6.1,43.2,7.8,5.5,1.5,12.9,0.0,117.54
Get'em up to R.A.V.E,SP,ANOTHER,10,145,145,78,237,113,163,147,175,116,129,1158,0,25.4,12.7,28.2,16.3,7.4,7.3,0.0,123.2
HAPPY☆ANGEL,SP,ANOTHER,10,180,180,70,201,102,138,141,134,136,130,1052,0,12.4,29.5,14.5,0.7,0.0,7.4,0.0,108.5
I am,SP,ANOTHER,10,190,190,32,267,216,105,123,136,112,105,1096,0,2.6,25.0,8.2,3.0,34.3,3.3,0.0,117.47
Little Little Princess,SP,HYPER,10,180,212,53,132,153,169,170,186,164,91,1118,2,6.3,22.3,15.2,4.4,6.6,5.2,0.0,120.2
Love Magic,SP,ANOTHER,10,170,170,60,304,56,140,98,106,109,118,991,0,3.7,17.1,13.5,24.5,73.4,5.1,0.0,114.35
POODLE,SP,ANOTHER,10,160,160,69,298,108,115,145,162,133,126,1156,0,25.9,20.2,22.6,6.7,6.8,5.6,0.0,116.81
rage against usual,SP,HYPER,10,152,152,70,176,107,161,123,183,134,106,1060,0,21.2,10.7,26.2,6.1,20.3,6.4,0.0,118.81
SCREAM SQUAD,SP,HYPER,10,220,220,90,163,87,102,97,98,95,137,869,0,7.0,13.0,3.6,10.2,1.8,12.6,0.0,106.9
Scripted Connection⇒ A mix,SP,HYPER,10,151,151,48,193,89,189,104,217,134,181,1155,0,38.2,0.8,43.2,36.0,5.3,4.0,0.0,116.02
Scripted Connection⇒ H mix,SP,HYPER,10,151,151,53,152,107,251,89,212,96,99,1059,0,39.6,3.1,34.1,12.3,16.9,6.1,0.0,108.07
Scripted Connection⇒ N mix,SP,ANOTHER,10,151,151,83,198,91,155,132,190,101,123,1073,0,31.3,8.4,36.1,9.6,15.0,8.5,0.0,104.9
SigSig,SP,ANOTHER,10,179,179,84,203,206,197,144,172,161,142,1309,0,7.8,35.4,15.6,4.8,12.9,7.9,0.0,119.32
Tizona d'El Cid,SP,ANOTHER,10,265,265,59,237,162,154,141,127,125,173,1178,0,25.3,14.8,39.2,3.3,6.3,4.5,0.0,119.77
Twelfth Style,SP,ANOTHER,10,160,160,36,184,116,141,97,175,124,160,1033,0,21.5,21.1,14.4,20.9,9.8,3.6,0.0,119.71
vault of heaven,SP,ANOTHER,10,160,160,79,194,108,126,142,118,149,94,1010,0,16.5,18.5,28.6,5.1,2.9,6.6,0.0,109.4
Votum stellarum,SP,ANOTHER,10,136,147,32,196,89,124,130,140,140,166,1017,2,25.8,11.0,37.1,28.3,9.6,3.4,0.0,117.94
Xepher,SP,HYPER,10,170,170,46,195,98,209,115,216,100,156,1135,0,27.5,14.6,42.7,12.3,6.3,4.7,0.0,117.88
100% minimoo-G,SP,HYPER,10,252,252,109,137,98,120,120,144,80,63,871,0,19.7,0.0,36.4,6.5,17.3,12.8,0.0,114.52
月光,SP,ANOTHER,10,155,155,85,246,158,149,162,109,170,167,1246,0,18.4,33.2,33.1,5.2,7.2,8.5,0.0,107.61
ヒマワリ,SP,ANOTHER,10,185,185,81,231,98,157,120,109,132,114,1042,0,4.8,26.3,8.3,5.9,5.8,7.2,0.0,111.24
冥,SP,HYPER,10,66,200,61,155,127,161,135,185,168,119,1111,20,25.6,6.6,34.2,15.3,0.8,6.5,0.0,123.36
オレはビートマニア！お前は何マニア？,SP,ANOTHER,10,123,123,117,181,69,138,53,112,52,151,873,0,24.6,14.0,21.6,0.0,5.5,24.0,0.0,111.95
ALFARSHEAR 双神威に廻る夢,SP,ANOTHER,10,170,170,36,244,77,151,153,146,124,118,1049,0,8.0,34.4,16.8,7.9,5.9,3.2,0.0,109.05
Apocalypse ～dirge of swans～,SP,ANOTHER,10,170,170,85,176,143,183,155,183,135,154,1214,0,14.3,31.5,34.5,2.1,2.3,8.9,0.0,118.58
Bloody Tears(IIDX EDITION),SP,ANOTHER,10,170,170,79,220,108,125,137,164,146,115,1094,0,11.0,36.0,14.0,5.7,7.5,7.3,0.0,107.02
BOOM BOOM DISCO NIGHT,SP,ANOTHER,10,155,155,46,262,96,170,156,160,164,97,1151,0,29.4,8.3,40.3,17.6,1.0,4.0,0.0,117.67
Concertino in Blue,SP,HYPER,10,103,155,149,89,114,131,121,126,108,77,915,17,10.9,11.2,27.2,14.1,38.7,16.3,0.0,95.2
CONTRACT,SP,HYPER,10,180,180,69,106,106,106,123,114,171,68,863,0,26.1,17.5,17.4,9.0,1.2,6.7,0.0,101.66
EURO-ROMANCE,SP,ANOTHER,10,161,161,61,261,77,131,124,137,120,145,1056,0,13.4,28.7,17.2,10.1,4.2,5.7,0.0,119.4
Ganymede,SP,HYPER,10,72,82,43,165,109,129,152,113,88,85,884,5,24.0,6.2,34.1,26.4,41.1,4.5,0.0,123.08
Heavenly Sun(IIDX VERSION),SP,ANOTHER,10,130,130,3,195,162,178,166,112,119,125,1060,0,37.4,2.6,56.2,6.3,0.5,0.3,0.0,112.38
