タイトル,プレイスタイル,譜面モード,難易度,MINBPM,MAXBPM,S,1,2,3,4,5,6,7,TOTALNOTES,ソフラン回数,乱打,同時,階段,トリ,縦連,皿,CN,PLAYTIME,MAXNPS,MAXNPS_BW,MAXNPS_S,MEANNPS,MEANNPS_BW,MEANNPS_S,VARNPS,VARNPS_BW,VARNPS_S
Holic,SP,ANOTHER,11,155,155,34,146,128,141,89,118,124,100,880,0,24.9,12.8,30.6,2.1,12.8,4.9,0.0,83.12,22.6,21.96,5.17,10.93,10.51,0.42,36.42,34.24,0.91
R5,SP,ANOTHER,11,180,180,48,275,76,81,97,76,105,131,889,0,1.0,47.4,0.7,54.4,11.5,5.3,0.0,86.0,45.0,45.0,3.0,13.61,12.87,0.73,69.91,68.49,0.69
ABSOLUTE†,SP,ANOTHER,11,60,144,39,241,158,214,189,204,167,200,1412,7,35.8,19.2,38.6,11.4,9.2,3.4,34.1,117.65,19.2,19.2,3.0,11.98,11.66,0.33,8.01,8.08,0.24
CHECKING YOU OUT,SP,ANOTHER,11,108,216,205,123,51,79,74,66,57,45,700,2,11.3,11.5,17.0,1.8,1.6,62.0,0.0,98.88,12.6,9.45,7.65,7.14,4.69,2.45,7.68,3.24,7.69
Clione†,SP,ANOTHER,11,148,148,22,208,124,161,152,164,116,155,1102,0,24.4,7.7,46.4,9.3,2.8,1.8,44.4,116.75,17.27,17.27,1.23,9.31,9.12,0.19,23.75,23.08,0.11
G2,SP,ANOTHER,11,170,170,52,380,60,145,128,121,104,198,1188,0,23.2,20.6,8.8,29.5,45.4,4.8,0.0,113.82,15.58,15.58,3.54,10.39,9.93,0.45,13.72,15.05,0.51
Linus,SP,ANOTHER,11,160,176,39,198,269,136,146,135,100,82,1105,15,10.4,35.8,18.8,12.6,4.0,3.1,0.0,105.86,23.84,23.15,1.47,10.36,9.99,0.37,11.19,11.01,0.15
NEMESIS,SP,ANOTHER,11,164,164,52,167,90,164,114,80,142,164,973,0,23.2,6.0,44.1,14.8,10.7,5.7,0.0,117.07,17.77,16.4,2.05,8.21,7.77,0.44,34.71,33.18,0.27
Take It Easy,SP,ANOTHER,11,205,205,55,215,146,188,138,164,133,243,1282,0,3.1,44.5,3.7,6.4,7.3,4.7,0.0,122.34,21.35,21.35,2.56,10.33,9.89,0.44,9.05,9.3,0.35
Spica,SP,ANOTHER,11,128,128,51,159,146,224,182,174,129,102,1167,0,19.0,4.9,53.6,26.4,51.7,5.6,0.0,98.9,29.33,26.13,3.2,10.92,10.44,0.48,23.58,19.99,0.55
stoic,SP,ANOTHER,11,155,155,46,209,181,235,148,149,165,169,1302,0,41.6,5.7,37.0,6.7,22.5,3.7,0.0,111.77,17.44,16.79,1.94,11.68,11.27,0.41,4.37,4.12,0.16
Blame,SP,ANOTHER,11,155,155,34,225,118,176,105,131,100,91,980,0,20.7,9.2,33.5,15.4,25.1,3.1,0.0,102.38,20.67,20.02,1.94,9.31,8.98,0.32,12.99,12.88,0.18
Giudecca,SP,ANOTHER,11,155,155,71,274,179,162,174,147,175,199,1381,0,39.9,2.3,58.6,13.9,5.0,5.9,0.0,111.38,21.96,20.67,3.23,12.22,11.59,0.63,10.16,8.71,0.64
Halfway of promise,SP,ANOTHER,11,140,140,208,180,31,175,61,124,77,84,940,0,3.1,26.9,3.6,6.4,11.1,45.3,0.0,114.0,13.42,9.92,8.17,8.18,6.37,1.81,4.96,5.27,5.11
murmur twins,SP,ANOTHER,11,174,174,58,228,167,198,180,153,123,100,1207,0,18.8,17.0,39.1,10.7,13.7,5.8,0.0,110.68,17.4,15.95,1.45,10.67,10.16,0.51,9.08,8.18,0.4
rainbow flyer,SP,ANOTHER,11,148,148,36,147,153,165,151,133,142,154,1081,0,33.3,8.6,44.4,16.7,11.2,3.1,0.0,116.75,16.03,16.03,1.85,9.13,8.83,0.3,31.56,30.36,0.17
xenon,SP,ANOTHER,11,158,158,49,236,175,201,205,190,156,167,1379,0,54.7,2.2,48.3,9.7,0.6,3.4,0.0,104.33,19.75,19.09,1.98,13.16,12.69,0.47,6.29,5.76,0.27
quasar,SP,ANOTHER,11,155,155,22,223,110,134,142,174,151,205,1161,0,38.0,2.5,55.0,5.9,1.2,1.9,0.0,117.87,19.38,18.73,2.58,9.61,9.43,0.18,37.48,37.07,0.17
RISLIM -Remix-,SP,ANOTHER,11,132,132,61,147,116,123,191,115,103,103,959,0,15.5,28.8,15.6,12.1,44.8,9.7,0.0,103.52,20.35,19.8,4.95,9.25,8.66,0.59,13.83,12.89,1.07
SWEETEST SAVAGE,SP,ANOTHER,11,114,114,181,170,44,166,50,115,79,125,930,0,16.7,6.9,19.4,11.6,49.7,37.7,0.0,104.56,20.42,14.72,7.6,8.66,6.98,1.69,12.91,10.87,2.16
Debtty Daddy,SP,ANOTHER,11,155,155,121,285,157,154,162,160,126,206,1371,0,23.2,19.9,30.3,4.0,9.4,10.2,0.0,120.77,22.6,20.02,3.23,11.21,10.22,0.99,11.41,8.82,0.85
Love Is Eternity,SP,ANOTHER,11,140,140,42,218,153,232,175,158,113,124,1215,0,32.4,3.9,59.5,9.6,0.3,3.5,0.0,119.67,16.33,15.17,2.92,9.84,9.5,0.34,11.44,11.2,0.26
Lucy,SP,ANOTHER,11,156,156,47,272,135,149,159,180,145,80,1167,0,18.9,28.9,12.5,5.2,26.6,4.5,0.0,113.84,18.2,15.6,2.6,10.11,9.71,0.41,11.28,9.97,0.31
No.13,SP,ANOTHER,11,172,172,84,317,177,200,196,201,233,199,1607,0,47.3,9.2,46.6,13.9,3.5,6.5,0.0,114.06,21.5,21.5,5.73,13.88,13.15,0.73,12.37,11.86,1.28
rainbow rainbow,SP,ANOTHER,11,177,177,52,267,200,172,173,170,137,206,1377,0,18.8,41.2,24.0,11.6,15.3,4.4,0.0,110.84,23.6,23.6,5.9,12.24,11.77,0.46,22.43,22.8,0.94
SPACE FIGHT,SP,ANOTHER,11,139,139,52,166,186,125,214,119,130,142,1134,0,24.7,23.4,37.4,6.7,17.9,5.0,0.0,100.14,18.53,18.53,2.32,10.95,10.44,0.5,20.41,21.15,0.37
1st Samurai,SP,ANOTHER,11,175,200,133,254,132,173,167,161,173,190,1383,1,27.0,13.6,42.5,14.9,9.0,13.0,0.0,104.48,21.15,17.5,5.1,13.14,11.88,1.26,7.71,7.72,2.18
ANDROMEDA,SP,ANOTHER,11,150,150,26,315,186,191,160,191,175,202,1446,0,44.8,7.3,49.9,24.4,7.0,1.8,0.0,128.0,21.25,19.38,1.88,11.16,10.96,0.2,11.5,11.05,0.17
Be quiet,SP,ANOTHER,11,150,150,90,243,82,114,160,114,148,163,1114,0,21.6,15.8,32.6,9.9,23.7,8.8,0.0,112.0,18.75,17.5,3.75,9.67,8.89,0.78,19.01,19.23,0.61
BLOCKS,SP,ANOTHER,11,141,141,23,197,121,122,108,152,122,155,1000,0,30.1,12.9,38.3,35.6,14.0,2.1,0.0,95.31,21.15,21.15,1.18,10.31,10.07,0.24,19.32,19.15,0.15
Click Again,SP,ANOTHER,11,137,137,120,204,72,131,118,138,174,140,1097,0,15.6,18.3,19.6,24.4,65.0,10.8,0.0,112.11,17.12,16.55,2.28,9.63,8.58,1.05,7.46,7.75,0.28
FAKE TIME,SP,HYPER,11,200,200,55,194,57,161,109,136,116,88,916,0,5.0,15.9,16.9,11.7,13.1,5.2,0.0,100.8,23.33,22.5,2.5,8.98,8.44,0.54,14.74,14.63,0.41
GENOCIDE,SP,ANOTHER,11,175,175,59,264,153,135,167,150,123,171,1222,0,28.5,10.7,45.1,25.6,7.2,6.5,0.0,93.25,21.15,21.15,4.38,12.91,12.29,0.62,9.76,11.0,0.77
KEY,SP,ANOTHER,11,212,212,35,353,127,244,164,176,140,197,1436,0,2.9,48.9,1.3,0.0,14.7,2.6,0.0,118.58,21.2,19.43,2.65,11.97,11.68,0.29,7.42,7.1,0.22
RED ZONE,SP,ANOTHER,11,165,165,56,242,127,201,128,181,100,149,1184,0,23.0,19.0,39.8,12.8,4.4,6.7,0.0,103.27,17.19,17.19,3.44,11.31,10.77,0.53,13.7,13.86,0.68
RESONATE 1794,SP,ANOTHER,11,160,160,79,183,97,137,126,125,84,120,951,0,21.8,20.4,20.5,13.4,2.2,8.1,0.0,123.0,20.0,18.0,4.67,7.64,7.0,0.63,15.7,13.84,0.69
Secret of Love,SP,ANOTHER,11,162,162,31,164,110,156,155,140,127,136,1019,0,21.2,13.2,33.5,10.6,3.0,2.7,0.0,112.59,18.23,18.23,2.03,8.93,8.66,0.27,9.78,9.7,0.18
spiral galaxy,SP,ANOTHER,11,154,154,46,289,134,182,163,204,165,127,1310,0,32.8,9.0,44.9,31.3,2.3,3.9,0.0,124.67,17.33,16.04,2.57,10.38,10.01,0.36,10.64,10.39,0.29
Wonder Bullfighter,SP,ANOTHER,11,126,126,241,216,65,128,118,126,73,95,1062,0,16.1,15.2,26.2,6.8,2.4,55.0,0.0,119.04,18.9,12.08,6.82,8.45,6.53,1.92,10.07,6.73,5.14
"ピアノ協奏曲第１番""蠍火""",SP,HYPER,11,165,188,50,135,163,181,176,167,149,90,1111,18,19.4,13.3,38.2,6.7,26.5,5.8,0.0,124.71,20.37,17.23,3.13,10.44,9.97,0.47,17.38,14.8,0.76
Aurora,SP,ANOTHER,11,181,181,62,207,143,170,192,161,169,176,1280,0,36.4,24.5,24.3,8.6,2.2,5.8,0.0,111.38,18.85,18.85,4.53,11.22,10.68,0.54,29.09,26.52,0.97
CaptivAte～浄化～,SP,ANOTHER,11,160,160,118,189,164,154,162,159,164,133,1243,0,14.7,39.7,19.9,10.1,4.7,10.5,0.0,124.87,16.67,16.67,3.33,9.64,8.72,0.91,21.69,18.82,0.65
INAZUMA,SP,ANOTHER,11,148,148,35,245,127,202,185,179,198,197,1368,0,37.2,2.7,61.8,54.8,4.0,2.7,0.0,108.64,18.5,18.5,3.7,12.41,12.09,0.32,12.27,11.9,0.36
Little Little Princess,SP,ANOTHER,11,180,212,73,196,185,204,221,221,201,119,1420,1,10.7,32.8,18.5,4.4,9.5,6.4,0.0,120.2,18.55,17.67,3.53,10.89,10.32,0.56,16.69,15.15,0.55
Pollinosis,SP,ANOTHER,11,145,145,83,199,86,183,173,211,160,183,1278,0,28.2,21.9,50.0,69.3,6.2,6.5,0.0,114.2,19.33,17.52,3.02,10.87,10.17,0.71,27.73,22.54,1.0
Scripted Connection⇒ H mix,SP,ANOTHER,11,151,151,56,206,94,270,96,266,121,166,1275,0,39.4,2.5,49.1,29.5,15.2,5.7,0.0,108.07,16.36,15.73,3.15,11.63,11.12,0.51,7.56,6.78,0.52
Xepher,SP,ANOTHER,11,170,170,52,263,170,244,169,261,146,215,1520,0,31.6,15.9,57.3,20.2,5.7,4.3,0.0,117.88,20.54,20.54,2.12,12.67,12.23,0.43,14.34,14.35,0.36
100% minimoo-G,SP,ANOTHER,11,252,252,121,356,10,39,16,306,16,39,903,0,9.0,2.9,9.2,39.5,90.7,13.8,0.0,112.5,31.5,26.25,7.35,13.35,11.56,1.79,36.07,27.45,4.93
ラクエン,SP,ANOTHER,11,99,198,231,240,44,118,92,98,117,94,1034,2,22.7,10.1,22.7,8.4,11.6,44.1,0.0,115.15,17.32,17.32,5.36,8.77,7.05,1.72,11.76,12.61,4.22
合体せよ！ストロングイェーガー!!(Ryu☆ remix),SP,ANOTHER,11,155,155,65,228,48,156,124,135,111,105,972,0,24.8,23.8,22.0,14.5,15.1,5.9,0.0,111.48,20.67,20.02,3.23,8.6,8.02,0.58,22.26,21.92,0.56
Broadbanded,SP,ANOTHER,11,140,140,44,251,137,158,129,117,77,106,1019,0,56.5,5.7,24.7,19.9,3.7,4.2,0.0,116.57,19.83,18.67,3.5,8.49,8.12,0.37,18.59,17.75,0.49
CONTRACT,SP,ANOTHER,11,180,180,82,187,80,120,141,170,195,81,1056,0,28.1,8.8,38.5,5.8,2.7,7.3,0.0,101.66,17.25,16.5,4.5,10.15,9.37,0.79,28.3,23.37,1.02
D.C.fish,SP,ANOTHER,11,155,155,36,242,135,154,146,143,132,190,1178,0,27.7,21.8,29.6,22.7,7.1,2.9,0.0,113.8,17.44,17.44,2.58,10.28,9.97,0.31,11.36,12.48,0.25
Ganymede,SP,ANOTHER,11,72,82,44,190,215,163,164,140,117,166,1199,4,18.0,3.7,42.3,92.8,99.3,3.9,0.0,123.08,18.79,18.45,1.02,9.74,9.38,0.36,28.34,27.79,0.1
Harmony and Lovely,SP,ANOTHER,11,135,135,9,162,161,172,165,183,145,130,1127,0,35.9,12.0,45.8,36.6,5.8,0.8,0.0,109.22,19.69,19.69,0.56,10.22,10.14,0.08,15.88,16.39,0.04
MINT,SP,ANOTHER,11,150,150,22,211,135,147,159,129,176,179,1158,0,32.2,14.8,47.7,25.9,2.1,1.8,0.0,89.6,19.38,19.38,1.25,12.7,12.46,0.24,16.87,17.34,0.11
Sun Field,SP,ANOTHER,11,152,152,87,267,88,127,168,207,171,119,1234,0,26.5,20.9,36.3,8.2,4.3,9.7,0.0,104.5,22.8,17.73,5.07,11.66,10.84,0.82,10.13,7.35,1.51
The Dirty of Loudness,SP,ANOTHER,11,165,165,66,226,133,206,165,188,152,191,1327,0,34.4,46.5,35.6,22.5,9.2,5.8,0.0,98.9,26.81,24.06,3.44,13.03,12.38,0.65,26.86,25.67,0.64
tripping contact(teranoid&MC Natsack Remix),SP,ANOTHER,11,187,187,87,233,130,150,194,151,139,174,1258,0,14.2,22.3,28.4,9.0,4.0,7.0,0.0,113.74,23.38,20.26,3.9,10.65,9.92,0.74,21.07,18.55,0.66
TYPE MARS(G-Style Mix),SP,ANOTHER,11,159,159,54,296,117,209,159,171,119,112,1237,0,29.0,6.8,44.0,21.1,16.8,4.6,0.0,114.71,19.21,18.55,2.65,10.64,10.18,0.46,14.58,14.3,0.37
waxing and wanding,SP,ANOTHER,11,191,191,62,203,189,209,193,199,195,207,1457,0,15.0,57.4,12.3,1.0,8.2,6.5,0.0,112.46,23.88,22.28,6.37,12.74,12.2,0.54,33.97,31.4,0.96
華蝶風雪,SP,ANOTHER,11,199,199,45,270,173,228,165,204,191,224,1500,0,13.3,44.8,11.8,1.7,19.7,3.8,0.0,120.82,20.73,19.9,4.98,12.31,11.94,0.37,10.74,9.99,0.64
嘆きの樹,SP,HYPER,11,160,160,57,229,135,179,189,206,148,138,1281,0,38.4,18.2,32.8,21.8,8.7,4.9,0.0,111.37,18.0,16.0,4.0,10.54,10.07,0.47,17.86,16.16,0.69
"Blind Justice ～Torn souls, Hurt Faiths～",SP,ANOTHER,11,137,165,30,220,162,188,163,193,149,140,1245,2,23.6,33.1,16.5,3.3,10.9,2.3,0.0,122.96,17.88,17.88,2.06,9.93,9.69,0.24,13.34,13.27,0.2
Fascination MAXX,SP,HYPER,11,100,400,31,303,46,145,120,67,84,80,876,17,1.8,28.5,8.7,4.2,92.0,3.4,0.0,99.45,25.0,23.33,2.5,10.33,10.01,0.31,16.68,15.78,0.4
GOLD RUSH,SP,ANOTHER,11,162,162,89,167,156,170,140,131,166,180,1199,0,8.3,53.7,6.4,23.0,19.3,8.4,0.0,92.03,18.9,17.55,4.05,12.65,11.71,0.94,13.86,13.21,1.05
INORI,SP,ANOTHER,11,146,146,31,299,178,227,325,243,194,117,1614,0,28.2,2.6,82.1,14.5,3.7,2.0,0.0,138.08,19.47,19.47,2.43,11.42,11.2,0.22,8.45,8.3,0.16
KAMAITACHI,SP,ANOTHER,11,165,165,78,267,193,173,186,187,156,128,1368,0,44.9,4.0,44.0,8.8,1.9,5.9,0.0,112.0,18.56,17.88,2.75,11.91,11.23,0.68,10.51,10.63,0.41
LASER CRUSTER,SP,HYPER,11,152,152,73,213,95,214,175,201,102,177,1250,0,23.1,2.0,58.6,28.0,5.9,6.6,0.0,113.58,16.47,15.83,1.9,11.0,10.35,0.64,12.83,11.88,0.34
Second Heaven,SP,ANOTHER,11,149,149,55,189,107,159,145,161,149,104,1069,0,11.7,32.2,19.2,1.3,25.4,5.4,0.0,112.75,19.87,16.14,3.72,9.22,8.74,0.47,21.39,20.22,0.6
Sense 2007,SP,HYPER,11,140,140,175,245,95,152,140,136,93,143,1179,0,23.4,12.1,28.6,19.0,18.4,21.0,0.0,114.85,23.92,19.25,4.67,9.97,8.49,1.48,19.4,10.63,3.25
smile,SP,ANOTHER,11,189,189,139,295,151,230,181,178,143,147,1464,0,12.7,33.4,20.5,4.8,8.0,14.1,0.0,123.8,19.69,18.9,4.72,11.53,10.43,1.09,18.0,15.85,2.69
the shadow,SP,ANOTHER,11,156,156,59,286,177,203,192,193,157,213,1480,0,33.9,7.6,51.9,18.2,9.2,4.3,0.0,127.69,18.2,17.55,5.2,11.45,11.0,0.46,15.15,15.55,0.61
TRANOID,SP,ANOTHER,11,130,190,60,221,90,160,154,198,137,121,1141,3,15.2,8.6,60.7,39.4,26.7,5.8,0.0,88.95,26.92,25.33,2.38,12.8,12.04,0.76,16.8,16.14,0.6
VANESSA,SP,HYPER,11,185,185,109,134,120,125,91,125,137,97,938,0,29.3,1.3,50.5,3.2,6.3,12.6,0.0,88.54,20.04,18.5,5.4,10.33,9.13,1.2,19.16,19.9,1.47
"Anisakis -somatic mutation type ""Forza""-",SP,ANOTHER,11,185,185,86,245,193,179,172,210,193,165,1443,0,22.5,37.4,29.6,5.7,2.1,6.1,0.0,130.05,21.58,18.5,3.08,11.01,10.36,0.66,32.83,32.02,0.77
Blue Rain,SP,ANOTHER,11,144,144,35,221,129,159,170,148,128,159,1149,0,26.5,12.4,51.1,12.5,1.0,3.1,0.0,107.29,19.8,19.2,3.0,10.29,9.98,0.31,32.34,31.97,0.32
Digitank System,SP,ANOTHER,11,128,128,264,250,20,156,59,181,86,80,1096,0,9.5,35.8,7.8,6.0,4.8,68.7,0.0,114.37,15.47,12.8,8.0,9.28,7.04,2.23,7.85,7.21,6.69
Do it!! Do it!!,SP,ANOTHER,11,300,300,131,320,36,135,101,87,92,85,987,0,17.4,10.0,38.8,50.8,33.6,16.6,0.0,105.6,22.5,20.0,8.75,9.01,7.81,1.2,52.48,53.3,3.19
four pieces of heaven,SP,ANOTHER,11,125,195,93,159,172,189,190,164,140,118,1225,14,23.1,7.9,52.2,10.7,0.7,11.0,0.0,107.04,21.12,17.88,4.88,11.01,10.14,0.87,42.34,32.82,2.63
in the Sky,SP,ANOTHER,11,180,180,74,241,192,183,141,185,113,150,1279,0,17.3,55.8,5.4,12.1,8.2,5.9,0.0,113.33,22.5,21.0,3.75,10.9,10.27,0.63,37.54,33.88,0.79
MENDES,SP,HYPER,11,168,168,71,227,190,188,167,166,167,177,1353,0,31.9,16.1,51.5,16.9,6.5,6.8,0.0,108.57,25.9,21.0,4.9,11.41,10.81,0.6,30.51,26.77,1.22
MENTAL MELTDOWN,SP,ANOTHER,11,145,145,128,216,180,208,159,229,138,185,1443,0,31.9,11.2,42.9,18.2,30.7,12.7,0.0,112.55,33.83,26.58,7.25,12.45,11.35,1.1,19.66,15.41,1.06
PARANOiA ～HADES～,SP,HYPER,11,75,300,34,239,64,135,74,145,99,164,954,3,29.7,7.2,39.2,23.7,5.0,3.2,0.0,97.2,21.25,21.25,3.75,9.89,9.55,0.33,11.73,11.29,0.44
"satellite020712 from ""CODED ARMS""",SP,ANOTHER,11,154,154,110,229,131,196,99,220,132,176,1293,0,27.0,19.9,38.3,7.2,3.9,12.0,0.0,108.31,18.61,17.33,7.06,11.85,10.84,1.01,14.64,18.21,1.39
SOUND OF GIALLARHORN,SP,ANOTHER,11,184,184,61,407,138,226,141,236,242,217,1668,0,19.2,40.8,19.0,11.2,19.6,4.7,0.0,127.17,19.17,16.87,3.07,12.79,12.32,0.47,11.15,11.15,0.54
State Of The Art,SP,ANOTHER,11,155,155,29,268,187,221,225,240,190,210,1570,0,43.2,4.4,63.1,11.3,5.6,2.6,0.0,119.12,18.08,16.79,4.52,13.0,12.76,0.24,7.91,7.76,0.46
STEEL NEEDLE,SP,ANOTHER,11,205,205,81,333,75,178,159,164,147,132,1269,0,12.2,18.7,29.9,24.2,15.4,8.7,0.0,113.56,22.21,20.5,4.27,11.06,10.35,0.71,28.81,28.12,0.92
switch,SP,ANOTHER,11,152,152,48,183,100,150,151,164,106,167,1069,0,30.1,22.1,34.5,5.4,7.7,5.5,0.0,91.57,21.53,20.9,3.8,11.1,10.6,0.5,31.25,28.73,0.8
THE DEEP STRIKER,SP,ANOTHER,11,173,173,130,263,155,181,147,225,134,293,1528,0,25.4,21.6,41.2,17.6,17.2,10.1,0.0,116.53,20.18,18.02,3.6,12.96,11.86,1.1,15.33,13.47,1.22
Time to Air,SP,ANOTHER,11,191,191,102,267,148,210,217,190,178,146,1458,0,9.5,51.6,9.9,5.0,19.1,10.1,0.0,111.83,24.67,22.28,4.77,12.89,11.99,0.9,25.66,22.27,1.47
Übertreffen,SP,ANOTHER,11,174,174,56,204,151,172,189,168,188,152,1280,0,28.2,7.5,62.8,8.5,1.1,4.7,0.0,91.72,23.2,21.75,5.8,13.85,13.24,0.61,10.59,8.71,0.85
2 tribe 4 K,SP,ANOTHER,11,140,140,71,239,136,196,153,193,165,249,1402,0,25.2,19.8,50.2,17.6,9.0,7.1,0.0,118.17,19.25,18.08,2.92,11.68,11.09,0.59,20.94,21.34,0.58
ALL MY TURN -このターンに、オレの全てを賭ける-,SP,ANOTHER,11,170,170,66,248,90,201,180,198,171,160,1314,0,27.5,11.5,47.3,28.4,14.7,5.5,0.0,113.29,22.67,22.67,4.25,11.49,10.91,0.58,32.07,30.19,0.75
